HCODE,Mtotal,Wtotal,Total,X_COORD,Y_COORD,lon,lat
411310000,1896,1844,3740,965535.7583333333,1944859.0291666668,127.11007732097708,37.50235033090089
411310001,1779,1989,3768,965468.525,1945676.9708333332,127.10928116008792,37.509721257577915
411310002,1691,1918,3609,964383.9333333332,1944934.1166666665,127.09704346857275,37.50298439531874
411310003,1764,1991,3755,965586.6958333333,1944363.9375,127.11067426086076,37.497892061285846
411310004,1953,1795,3748,965101.0541666667,1944405.325,127.10518028441595,37.4982448181327
